libgssdp-1.6-0:amd64	1.6.4-5
libgstreamer-gl1.0-0:amd64	1.28.2-1
libgstreamer-plugins-bad1.0-0:amd64	1.28.2-1ubuntu1.1
libgstreamer-plugins-base1.0-0:amd64	1.28.2-1
libgstreamer-plugins-extra1.0-0:amd64	1.28.2-1ubuntu1.1
libgstreamer1.0-0:amd64	1.28.2-1
libgtk-3-0t64:amd64	3.24.52-0ubuntu1
libgtk-3-common	3.24.52-0ubuntu1
libgudev-1.0-0:amd64	1:238-7build1
libgupnp-1.6-0:amd64	1.6.9-4
libgupnp-igd-1.6-0:amd64	1.6.0-5
libharfbuzz0b:amd64	12.3.2-2
libheif-plugin-aomdec:amd64	1.21.2-3ubuntu0.4
libheif1:amd64	1.21.2-3ubuntu0.4
libhogweed6t64:amd64	3.10.2-1
libhwy1t64:amd64	1.3.0-2
libibverbs1:amd64	61.0-2ubuntu3
libicu78:amd64	78.2-2ubuntu1
libidn2-0:amd64	2.3.8-4build1
libiec61883-0:amd64	1.2.0-8
libimath-3-1-29t64:amd64	3.1.12-1ubuntu5
libimobiledevice-1.0-6:amd64	1.4.0-1build1
libimobiledevice-glue-1.0-0	1.3.2-2build1
libinih1:amd64	61-1ubuntu1
libinstpatch-1.0-2:amd64	1.1.7-1.1
libintl-perl	1.37-1
libintl-xs-perl	1.37-1
libip4tc2:amd64	1.8.11-2ubuntu3
libip6tc2:amd64	1.8.11-2ubuntu3
libisns0t64:amd64	0.101-2.1
libjack-jackd2-0:amd64	1.9.22~dfsg-5build1
libjansson4:amd64	2.14-2build4
libjbig0:amd64	2.1-6.1ubuntu3
libjcat1:amd64	0.2.5-1build1
libjemalloc2:amd64	5.3.0-4
libjpeg-turbo8:amd64	2.1.5-4ubuntu4
libjpeg8:amd64	8c-2ubuntu12
libjq1:amd64	1.8.1-4ubuntu2
libjs-sphinxdoc	8.2.3-12
libjson-c5:amd64	0.18+ds-3
libjson-glib-1.0-0:amd64	1.10.8+ds-2
libjson-glib-1.0-common	1.10.8+ds-2
libjxl0.11:amd64	0.11.1-6ubuntu4.2
libk5crypto3:amd64	1.22.1-2ubuntu4.1
libkeyutils1:amd64	1.6.3-6ubuntu3
libklibc:amd64	2.0.14-1ubuntu2
libkmod2:amd64	34.2-2ubuntu2
libkrb5-3:amd64	1.22.1-2ubuntu4.1
libkrb5support0:amd64	1.22.1-2ubuntu4.1
libksba8:amd64	1.6.7-2build1
liblastlog2-2:amd64	2.41.3-3ubuntu2.2
liblc3-1:amd64	1.1.3+dfsg-1build1
liblcms2-2:amd64	2.17-1ubuntu0.2
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-5build1
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2:amd64	2.6.10+dfsg-1ubuntu5
liblerc4:amd64	4.0.0+ds-5ubuntu2
liblilv-0-0:amd64	0.26.2-1
libllhttp9.3	9.3.3~really9.3.0+~cs12.11.8-3build1
libllvm21:amd64	1:21.1.8-6ubuntu1
liblmdb0:amd64	0.9.31-1build2
liblocale-gettext-perl	1.07-8
liblrdf0:amd64	0.6.1-5
