libzstd1	1.5.7+dfsg-3	arm64
login	1:4.16.0-2+really2.41.3-3ubuntu2.2	arm64
login.defs	1:4.17.4-2ubuntu3	all
logsave	1.47.2-3ubuntu4	arm64
mawk	1.3.4.20260129-1	arm64
media-types	14.0.0build1	all
mount	2.41.3-3ubuntu2.2	arm64
nano	8.7.1-1ubuntu0.1	arm64
ncurses-base	6.6+20251231-1	all
ncurses-bin	6.6+20251231-1	arm64
netbase	6.5build1	all
nftables	1.1.6-1	arm64
nginx	1.28.3-2ubuntu1.10	arm64
nginx-common	1.28.3-2ubuntu1.10	all
openssh-client	1:10.2p1-2ubuntu3.6	arm64
openssh-server	1:10.2p1-2ubuntu3.6	arm64
openssh-sftp-server	1:10.2p1-2ubuntu3.6	arm64
openssl	3.5.5-1ubuntu3.5	arm64
openssl-provider-legacy	3.5.5-1ubuntu3.5	arm64
passwd	1:4.17.4-2ubuntu3	arm64
perl-base	5.40.1-7ubuntu0.1	arm64
procps	2:4.0.4-9ubuntu1	arm64
python3	3.14.3-0ubuntu2	arm64
python3-aiofiles	25.1.0-2	all
python3-aiohappyeyeballs	2.6.1-2	all
python3-aiohttp	3.13.3-3ubuntu1	arm64
python3-aiosignal	1.4.0-1	all
python3-async-timeout	5.0.1-1	all
python3-attr	25.4.0-1build1	all
python3-evdev	1.9.3-1build1	arm64
python3-frozenlist	1.8.0-2build1	arm64
python3-idna	3.11-1ubuntu0.1	all
python3-minimal	3.14.3-0ubuntu2	arm64
python3-multidict	6.4.3-1build2	arm64
python3-passlib	1.9.3-1ubuntu1	all
python3-pil	12.1.1-2ubuntu1.3	arm64
python3-propcache	0.3.1-1build2	arm64
python3-pygments	2.19.2+dfsg-1	all
python3-pyotp	2.9.0-2build1	all
python3-ruamel.yaml	0.18.10+ds-1build1	all
python3-ruamel.yaml.clib	0.2.15+ds-1build1	arm64
python3-setproctitle	1.3.7-2build1	arm64
python3-xlib	0.33-5	all
python3-yaml	6.0.3-1build1	arm64
python3-yarl	1.22.0-1build1	arm64
python3.14	3.14.4-1ubuntu0.1	arm64
python3.14-minimal	3.14.4-1ubuntu0.1	arm64
readline-common	8.3-4	all
rsync	3.4.1+ds1-7ubuntu0.3	arm64
rust-coreutils	0.8.0-0ubuntu3	arm64
sed	4.9-2ubuntu1	arm64
sensible-utils	0.0.26build1	all
strace	6.19+ds-0ubuntu5	arm64
sudo	1.9.17p2-1ubuntu3	arm64
sudo-common	1.2ubuntu	all
systemd	259.5-0ubuntu3.4	arm64
systemd-resolved	259.5-0ubuntu3.4	arm64
systemd-sysv	259.5-0ubuntu3.4	arm64
sysvinit-utils	3.15-5ubuntu1	arm64
tar	1.35+dfsg-4ubuntu0.4	arm64
tzdata	2026c-0ubuntu0.26.04.1	all
ubuntu-keyring	2023.11.28.1build1	all
ucf	3.0052ubuntu1	all
udev	259.5-0ubuntu3.4	arm64
usbutils	1:019-1	arm64
ustreamer	6.65-1blikvm2	arm64
util-linux	2.41.3-3ubuntu2.2	arm64
v4l-utils	1.32.0-2ubuntu1	arm64
xkb-data	2.46-2	all
zlib1g	1:1.3.dfsg+really1.3.1-1ubuntu3	arm64
