libblockdev-nvme3	3.4.0-1	amd64
libblockdev-part3	3.4.0-1	amd64
libblockdev-smart3	3.4.0-1	amd64
libblockdev-swap3	3.4.0-1	amd64
libblockdev-utils3	3.4.0-1	amd64
libblockdev3	3.4.0-1	amd64
libbluetooth3	5.85-4ubuntu0.1	amd64
libbpf1	1:1.6.3-1ubuntu1	amd64
libbpfcc	0.35.0+ds-1ubuntu2	amd64
libbrotli1	1.2.0-3build1	amd64
libbs2b0	3.1.0+dfsg-8build1	amd64
libbsd0	0.12.2-2build2	amd64
libbytesize-common	2.12-1	all
libbytesize1	2.12-1	amd64
libbz2-1.0	1.0.8-6ubuntu0.1	amd64
libc-bin	2.43-2ubuntu2.3	amd64
libc-dev-bin	2.43-2ubuntu2.3	amd64
libc-gconv-modules-extra	2.43-2ubuntu2.3	amd64
libc6	2.43-2ubuntu2.3	amd64
libc6-dev	2.43-2ubuntu2.3	amd64
libcaca0	0.99.beta20-6ubuntu2.1	amd64
libcairo-gobject2	1.18.4-3	amd64
libcairo2	1.18.4-3	amd64
libcap-ng0	0.8.5-4build5	amd64
libcap2	1:2.75-10ubuntu2	amd64
libcap2-bin	1:2.75-10ubuntu2	amd64
libcares2	1.34.6-1	amd64
libcbor0.10	0.10.2-2ubuntu3	amd64
libcdparanoia0	3.10.2+debian-14ubuntu2	amd64
libchromaprint1	1.6.0-2build1	amd64
libclang-cpp21	1:21.1.8-6ubuntu1	amd64
libclang1-21	1:21.1.8-6ubuntu1	amd64
libcolord2	1.4.8-3	amd64
libcom-err2	1.47.2-3ubuntu4	amd64
libcpuinfo0	0.0~git20250905.877328f-1	amd64
libcrypt1	1:4.5.1-1	amd64
libcryptsetup12	2:2.8.4-1ubuntu4	amd64
libctf-nobfd0	2.46-3ubuntu2	amd64
libctf0	2.46-3ubuntu2	amd64
libcups2t64	2.4.16-1ubuntu1.3	amd64
libcurl3t64-gnutls	8.18.0-1ubuntu2.4	amd64
libcurl4t64	8.18.0-1ubuntu2.4	amd64
libdatrie1	0.2.14-1	amd64
libdb5.3t64	5.3.28+dfsg2-10ubuntu1	amd64
libdbus-1-3	1.16.2-2ubuntu4	amd64
libdc1394-25	2.2.6-6	amd64
libdca0	0.0.7-2build2	amd64
libdconf1	0.49.0-4	amd64
libde265-0	1.0.16-1build1	amd64
libdebconfclient0	0.280ubuntu1	amd64
libdebuginfod-common	0.194-4	all
libdebuginfod1t64	0.194-4	amd64
libdecor-0-0	0.2.5-1	amd64
libdeflate0	1.23-2ubuntu1	amd64
libdevmapper-event1.02.1	2:1.02.205-2ubuntu3	amd64
libdevmapper1.02.1	2:1.02.205-2ubuntu3	amd64
libdnnl3.6	3.9.1+ds-2	amd64
libdrm-amdgpu1	2.4.131-1	amd64
libdrm-common	2.4.131-1	all
libdrm-intel1	2.4.131-1	amd64
libdrm-tests	2.4.131-1	amd64
libdrm2	2.4.131-1	amd64
libduktape207	2.7.0+tests-0ubuntu4	amd64
